Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
closeBrowser,Chrome 68.0.3440.106,,2018-09-04 14:22:10,2018-09-04 14:22:11,1.014s,PASSED
,,,,,,
Test Cases/Shop/TC06_Browse_VariationProduct_Sale_AmazonPayAtCart_LessThan60_EMS,Chrome 68.0.3440.106,,2018-09-04 14:22:13,2018-09-04 14:24:50,2m - 37.478s,PASSED
Statement - productName = VARIATION_SALE_PRODUCT,Chrome 68.0.3440.106,,2018-09-04 14:22:13,2018-09-04 14:22:13,0.040s,PASSED
Statement - saleprice = VARIATION_SALE_PRICE1,Chrome 68.0.3440.106,,2018-09-04 14:22:13,2018-09-04 14:22:13,0.047s,PASSED
Statement - redularprice = VARIATION_SALE_REGULAR_PRICE1,Chrome 68.0.3440.106,,2018-09-04 14:22:13,2018-09-04 14:22:13,0.009s,PASSED
Statement - variation = VARIATION_SALE_NAME1,Chrome 68.0.3440.106,,2018-09-04 14:22:13,2018-09-04 14:22:13,0.013s,PASSED
"Statement - r_string = new java.lang.Math().random().toString().substring(2, 8)",Chrome 68.0.3440.106,,2018-09-04 14:22:13,2018-09-04 14:22:13,0.021s,PASSED
"Statement - email = ""auto"" + r_string + ""@mailinator.com""",Chrome 68.0.3440.106,,2018-09-04 14:22:13,2018-09-04 14:22:13,0.019s,PASSED
"Statement - orderNote = ""auto"" + r_string + ""Order""",Chrome 68.0.3440.106,,2018-09-04 14:22:13,2018-09-04 14:22:13,0.044s,PASSED
Statement - currentNumberItemInCart = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 68.0.3440.106,,2018-09-04 14:22:13,2018-09-04 14:22:13,0.013s,PASSED
Statement - quantity = 5,Chrome 68.0.3440.106,,2018-09-04 14:22:13,2018-09-04 14:22:13,0.017s,PASSED
Statement - shippingLabel = EMS_SHIPPING_LABEL,Chrome 68.0.3440.106,,2018-09-04 14:22:13,2018-09-04 14:22:13,0.008s,PASSED
Statement - shippingPrice = EMS_SHIPPING_PRICE,Chrome 68.0.3440.106,,2018-09-04 14:22:13,2018-09-04 14:22:14,0.008s,PASSED
"Statement - subtotal = CustomKeywords.beautytap.ShopAction.calculateTotal(quantity, saleprice)",Chrome 68.0.3440.106,,2018-09-04 14:22:14,2018-09-04 14:22:14,0.010s,PASSED
Statement - total = subtotal + shippingPrice,Chrome 68.0.3440.106,,2018-09-04 14:22:14,2018-09-04 14:22:14,0.008s,PASSED
"Statement - total = CustomKeywords.beautytap.ShopAction.calculateTotal(1, total)",Chrome 68.0.3440.106,,2018-09-04 14:22:14,2018-09-04 14:22:14,0.010s,PASSED
"Statement - products = new org.json.JSONArray((((((((([{""productname"":"" + productName) + "",""variation"":"") + variation) + "",""quantity"":"") + quantity) + "",""price"":"") + saleprice) + ""}]))",Chrome 68.0.3440.106,,2018-09-04 14:22:14,2018-09-04 14:22:14,0.009s,PASSED
"Statement - billingInformation = new org.json.JSONObject((({""firstname"":""Test"",""lastname"":""Automation"",""country"":""United States (US)"",""address"":""123 Testing"",""city"":""New York"",""state"":""New York"",""zip"":""90012"",""email"":"" + email) + ""}))",Chrome 68.0.3440.106,,2018-09-04 14:22:14,2018-09-04 14:22:14,0.008s,PASSED
"Statement - shippingType = ""EMS""",Chrome 68.0.3440.106,,2018-09-04 14:22:14,2018-09-04 14:22:14,0.009s,PASSED
"Statement - paymentMethod = ""Amazon Pay""",Chrome 68.0.3440.106,,2018-09-04 14:22:14,2018-09-04 14:22:14,0.009s,PASSED
"Statement - category = ""Brands""",Chrome 68.0.3440.106,,2018-09-04 14:22:14,2018-09-04 14:22:14,0.008s,PASSED
"Statement - subcategory = ""Innisfree""",Chrome 68.0.3440.106,,2018-09-04 14:22:14,2018-09-04 14:22:14,0.010s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 68.0.3440.106,,2018-09-04 14:22:14,2018-09-04 14:22:33,19.165s,PASSED
beautytap.ShopAction.selectCategory,Chrome 68.0.3440.106,,2018-09-04 14:22:33,2018-09-04 14:22:43,10.641s,PASSED
beautytap.ShopAction.findProductOnProductList,Chrome 68.0.3440.106,,2018-09-04 14:22:43,2018-09-04 14:22:57,13.548s,PASSED
beautytap.ShopAction.VerifyProductOnProductList,Chrome 68.0.3440.106,VP1: Verify product display in Product List,2018-09-04 14:22:57,2018-09-04 14:22:57,0.285s,PASSED
